name,year,season,episode,imdb,wdwt,genre
100 Days of deception,2026,1,,,,Drama
365: Repeat the year,2020,1,24,7.9,Good,Sci Fi
A bloody lucky day,2023,1,10,7.5,Excellent,Thriller
A Killer Paradox,2024,1,8,7.2,Excellent,Thriller
A model family,2022,1,10,6.6,,Thriller
A shop for killers,2024,1,8,8.2,Excellent,Action
A superior day,2022,1,8,5.8,,Thriller
A time called you,2023,1,12,7.8,,Supernatural
Abyss,2019,1,16,7.1,Bad,Drama
Adamas,2022,1,16,7.0,,Supernatural
Again my life,2022,1,16,8.3,Bad,Supernatural
Agent Kim Reactivated,2026,1,,7.6,Excellent,Action
Aitem / Item,2019,1,32,6.3,,Supernatural
Alchemy of Souls,2022,2,20,8.8,Excellent,Supernatural
Alice,2020,1,16,7.1,Good,Time Travel
Alice in borderland,2020,2,16,7.7,Excellent,Superhero
All of us are dead,2022,1,12,7.5,Bad,Zombie
Anna,2022,1,6,7.5,,Drama
As you stood by,2025,1,12,7.5,,Thriller
Avengers Social Club,2017,1,12,8.1,Excellent,Comedy
Awaken,2020,1,16,7.5,,Thriller
Bad and crazy,2021,1,12,8.0,Good,Supernatural
Becoming Witch,2022,1,12,6.9,Bad,Drama/Comedy
Beyond evil,2021,1,16,8.1,Good,Thriller
Big Mouth,2022,1,16,7.8,,Drama
Bitter Sweet Hell,2024,1,12,8.4,Bad,Drama/Comedy
Black,2017,1,18,7.8,Excellent,Supernatural
Black knight,2023,1,6,6.4,Excellent,Sci Fi
Black out,2024,1,14,7.9,,Thriller
Blind,2022,1,16,8.0,,Thriller
Blood Free/Dominant Species,2024,1,8,7.1,Excellent,Sci Fi
Bloodhounds,2023,1,8,8.2,,Action
Bloody flower,2026,,,7.0,Very Good,Thriller
"Bon Appetit, Your Majesty",2025,1,12,8.4,Very Good,Time Travel
Bona Fide Killer,2026,,,,Excellent,Drama/Comedy
Born again,2020,1,20,6.8,Bad,Drama
Bring it on ghost,2016,1,12,7.6,Bad,Supernatural
Bulgasal: Immortal Souls,2021,1,16,7.4,Bad,Supernatural
Buried Hearts,2025,1,16,7.3,,Drama
Business proposal,2022,1,12,8.1,Excellent,Rom Com
Butterfly,2026,1,,,Drama
